SpotName,lat,lon
Giant,4.343157,101.154685
Tesco,4.335471,101.153891
McDonald's,4.326385,101.14469
KFC,4.325612,101.147885
KFC,4.314792,101.15229
KFC,4.335481,101.154171
Bus Stop,4.312456,101.151993
Kampar Bus Terminal,4.311637,101.151361
"Bus Terminal Kampar, Jalan Balai",4.326006,101.143407
Bus Stop,4.325472,101.147699
Bus Stop,4.324873,101.149855
Bus Stop,4.315793,101.152556
Terminal Kampar Putra,4.316972,101.131766
Bus Stop,4.325226,101.147849
Bus Stop,4.32605,101.144319
Bus Stop,4.327429,101.154757
Bus Stop,4.331047,101.132154
Bus Stop,4.330765,101.136428
Bus Stop,4.330212,101.136501
Bus Stop,4.329651,101.136532
Bus Stop,4.329094,101.136494
Railway Station,4.303034,101.15364
